CONF ID,CONF,PAKE,PAKE RANK,PASE,PASE RANK,GAMES,W,L,WIN%,R64,R32,S16,E8,F4,F2,CHAMP,TOP2,CHAMP%
2,ACC,11.5,1,7.2,1,231,145,86,0.628,91,61,39,22,11,7,5,26,95.00%
24,P12,5.8,2,6.8,4,137,78,59,0.569,59,40,26,9,3,0,0,8,64.40%
28,SEC,5.3,3,6.9,3,177,103,74,0.582,75,48,28,17,7,2,1,13,86.50%
14,Horz,5.2,4,7,2,28,12,16,0.429,16,4,2,2,2,2,0,0,3.70%
13,CUSA,4.3,5,4.9,5,34,17,17,0.5,17,9,3,2,2,1,0,2,31.90%
19,MVC,2.3,6,4.7,6,41,21,20,0.512,20,12,5,2,2,0,0,1,17.10%
15,Ivy,2.3,6,3.1,7,21,7,14,0.333,14,5,2,0,0,0,0,0,0.50%
16,MAAC,1.8,8,2.3,9,19,5,14,0.263,14,3,1,1,0,0,0,0,0.00%
26,SB,1.2,9,0.8,13,18,4,14,0.222,14,3,1,0,0,0,0,0,0.20%
29,Slnd,0.5,10,0.9,12,15,3,12,0.2,12,3,0,0,0,0,0,0,0.30%
12,CAA,0.4,11,0.4,16,24,7,17,0.292,17,4,1,1,1,0,0,0,1.10%
21,NEC,0.3,12,0.6,14,10,1,9,0.1,9,1,0,0,0,0,0,0,0.00%
17,MAC,0.3,12,1.1,11,21,6,15,0.286,15,5,1,0,0,0,0,0,0.20%
22,OVC,0.3,12,0.3,19,19,5,14,0.263,14,5,0,0,0,0,0,0,0.30%
18,MEAC,0.2,15,0.4,16,12,1,11,0.083,11,1,0,0,0,0,0,0,0.00%
5,ASun,0.2,15,1.3,10,19,4,15,0.211,15,3,1,0,0,0,0,0,0.50%
6,B10,0.1,17,2.7,8,234,136,98,0.581,98,72,37,14,9,4,0,19,91.20%
31,SWAC,-0.2,18,-0.1,21,7,0,7,0,7,0,0,0,0,0,0,0,0.00%
27,SC,-0.9,19,0.3,19,20,5,15,0.25,15,3,1,1,0,0,0,0,2.40%
30,Sum,-0.9,19,-0.7,22,18,3,15,0.167,15,2,1,0,0,0,0,0,0.00%
10,BSth,-1.2,21,-1.5,26,13,0,13,0,13,0,0,0,0,0,0,0,0.00%
11,BW,-1.3,22,-0.7,22,17,2,15,0.118,15,2,0,0,0,0,0,0,0.20%
3,AE,-1.6,23,-0.7,22,16,1,15,0.062,15,1,0,0,0,0,0,0,0.00%
33,WCC,-1.7,24,0.4,16,66,38,28,0.576,28,19,10,5,2,2,0,6,70.40%
25,Pat,-2.1,25,-1.2,25,16,1,15,0.062,15,1,0,0,0,0,0,0,0.10%
1,A10,-2.5,26,-6.2,29,76,30,46,0.395,46,21,7,2,0,0,0,0,9.00%
9,BSky,-2.6,27,-2.2,27,15,0,15,0,15,0,0,0,0,0,0,0,0.00%
8,BE,-2.7,28,-9.8,30,220,130,90,0.591,95,60,31,18,11,5,5,21,93.00%
4,Amer,-4.6,29,0.5,15,48,27,21,0.562,22,14,6,3,2,1,1,3,51.20%
32,WAC,-4.6,29,-4.2,28,17,1,16,0.059,16,1,0,0,0,0,0,0,1.00%
7,B12,-5.2,31,-10.2,31,224,132,92,0.589,95,65,32,20,7,5,3,20,93.70%
20,MWC,-12,32,-15,32,57,20,37,0.351,37,12,5,1,1,1,0,1,18.20%