YEAR,TEAM NO,TEAM,SEED,ROUND,NET RPI,RESUME,WAB RANK,ELO,B POWER,Q1 W,Q2 W,Q1 PLUS Q2 W,Q3 Q4 L,PLUS 500,R SCORE,BID TYPE
2024,1079,Akron,14,0,106,131,104,103,111.5,0,2,2,4,13,0,At-Large
2024,1078,Alabama,4,0,10,31,15,31,11.5,4,7,11,0,11,99.35,At-Large
2024,1077,Arizona,2,0,4,10,11,14,5.5,8,7,15,1,18,99.87,At-Large
2024,1076,Auburn,4,0,5,45,9,5,4,3,10,13,0,21,99.42,At-Large
2024,1075,Baylor,3,0,13,8,10,25,13.5,10,4,14,0,14,99.73,At-Large
2024,1074,Boise St.,10,0,27,17,47,42,43.5,6,3,9,1,12,86.45,At-Large
2024,1073,BYU,6,0,12,19,21,38,16.5,6,5,11,0,14,98.42,At-Large
2024,1072,Clemson,6,0,35,23,46,57,31.5,5,5,10,1,10,94.27,At-Large
2024,1071,Colgate,14,0,125,157,98,95,128,0,1,1,4,15,0,At-Large
2024,1070,College of Charleston,13,0,96,125,75,36,97.5,0,1,1,4,19,0.01,At-Large
2024,1069,Colorado,10,0,25,55,30,27,35.5,4,6,10,0,14,83.64,At-Large
2024,1068,Colorado St.,10,0,36,34,35,47,54.5,6,3,9,1,14,71.99,At-Large
2024,1067,Connecticut,1,0,2,2,1,1,1.5,13,8,21,0,29,99.98,At-Large
2024,1066,Creighton,3,0,11,9,13,17,10,8,7,15,0,15,99.74,At-Large
2024,1065,Dayton,7,0,23,65,25,26,31.5,3,5,8,0,17,87.95,At-Large
2024,1064,Drake,10,0,47,62,32,10,52,4,3,7,2,22,39.02,At-Large
2024,1063,Duke,4,0,9,21,19,20,8,5,6,11,0,17,99.72,At-Large
2024,1062,Duquesne,11,0,81,64,76,41,90,2,6,8,3,12,0.42,At-Large
2024,1061,Florida,7,0,28,16,20,24,23.5,6,4,10,1,13,98.74,At-Large
2024,1060,Florida Atlantic,8,0,38,63,40,37,38,2,8,10,3,17,62.2,At-Large
2024,1059,Gonzaga,5,0,17,53,26,16,15.5,3,4,7,0,19,95.32,At-Large
2024,1058,Grambling St.,16,0,279,234,162,179,279,0,0,0,8,6,0,At-Large
2024,1057,Grand Canyon,12,0,50,99,39,22,57,1,2,3,2,24,7.76,At-Large
2024,1056,Houston,1,0,1,3,3,2,1.5,16,3,19,0,27,99.97,At-Large
2024,1055,Howard,16,0,273,272,253,223,267,0,0,0,12,2,0,At-Large
2024,1054,Illinois,3,0,15,13,7,7,11,8,6,14,1,19,99.82,At-Large
2024,1053,Iowa St.,2,0,6,4,4,4,5.5,10,6,16,0,21,99.86,At-Large
2024,1052,James Madison,12,0,53,91,34,18,52.5,1,0,1,1,28,24.78,At-Large
2024,1051,Kansas,4,0,21,11,14,44,21,7,6,13,1,13,99.42,At-Large
2024,1050,Kentucky,3,0,19,12,22,23,19.5,6,2,8,1,15,99.4,At-Large
2024,1049,Long Beach St.,15,0,170,201,163,142,167.5,0,3,3,11,6,0,At-Large
2024,1048,Longwood,16,0,163,231,172,146,148.5,0,1,1,10,7,0,At-Large
2024,1047,Marquette,2,0,14,7,6,9,13,9,6,15,0,17,99.78,At-Large
2024,1046,McNeese St.,12,0,56,101,50,28,56,1,2,3,1,26,3.37,At-Large
2024,1045,Michigan St.,9,0,24,47,55,64,19,3,6,9,0,5,85.74,At-Large
2024,1044,Mississippi St.,8,0,31,35,48,55,29.5,4,4,8,1,8,91.96,At-Large
2024,1043,Montana St.,16,0,208,264,268,186,247,0,1,1,13,2,0,At-Large
2024,1042,Morehead St.,14,0,108,153,88,85,106,0,0,0,4,17,0,At-Large
2024,1041,Nebraska,8,0,34,50,27,35,33,4,5,9,0,13,89.01,At-Large
2024,1040,Nevada,10,0,33,22,23,13,45.5,6,2,8,1,19,93.28,At-Large
2024,1039,New Mexico,11,0,22,40,31,21,33,5,3,8,2,17,89.44,At-Large
2024,1038,North Carolina,1,0,8,5,5,6,10,9,7,16,0,20,99.91,At-Large
2024,1037,North Carolina St.,11,0,63,36,62,52,57.5,3,6,9,1,8,19.95,At-Large
2024,1036,Northwestern,9,0,52,43,33,54,42.5,4,5,9,1,10,76.47,At-Large
2024,1035,Oakland,14,0,126,106,100,79,134,1,1,2,6,11,0,At-Large
2024,1034,Oregon,11,0,59,39,36,43,58.5,4,5,9,1,12,37.55,At-Large
2024,1033,Purdue,1,0,3,1,2,3,3,12,8,20,0,25,99.96,At-Large
2024,1032,Saint Mary's,5,0,16,29,37,11,17.5,5,3,8,2,20,97.23,At-Large
2024,1031,Saint Peter's,15,0,187,210,175,150,192,0,0,0,10,5,0,At-Large
2024,1030,Samford,13,0,74,113,56,33,89,0,2,2,3,23,0.08,At-Large
2024,1029,San Diego St.,5,0,20,33,24,29,27.5,4,6,10,0,15,97.98,At-Large
2024,1028,South Carolina,6,0,51,24,12,12,51.5,6,5,11,2,19,97.46,At-Large
2024,1027,South Dakota St.,15,0,135,228,148,112,143,0,0,0,9,9,0,At-Large
2024,1026,Stetson,16,0,209,212,137,157,198,1,0,1,8,9,0,At-Large
2024,1025,TCU,9,0,42,32,38,60,29,5,3,8,0,9,84.07,At-Large
2024,1024,Tennessee,2,0,7,6,8,8,7,8,5,13,0,17,99.89,At-Large
2024,1023,Texas,7,0,30,27,42,56,25,5,3,8,1,8,93.16,At-Large
2024,1022,Texas A&M,9,0,44,14,54,58,39.5,7,6,13,4,6,83.23,At-Large
2024,1021,Texas Tech,6,0,26,15,16,30,25,6,4,10,0,13,97.18,At-Large
2024,1020,UAB,12,0,105,102,85,62,112.5,0,7,7,4,11,0.01,At-Large
2024,1019,Utah St.,8,0,39,52,17,15,58,4,4,8,0,21,95.83,At-Large
2024,1018,Vermont,13,0,102,126,71,40,92.5,0,2,2,4,21,0.01,At-Large
2024,1017,Virginia,10,0,54,56,41,48,62,2,8,10,0,13,38.68,At-Large
2024,1016,Wagner,16,0,290,304,241,253,283,0,0,0,13,1,0,At-Large
2024,1015,Washington St.,7,0,45,28,29,32,42,6,3,9,1,15,86.43,At-Large
2024,1014,Western Kentucky,15,0,136,204,135,130,145,0,1,1,11,10,0,At-Large
2024,1013,Wisconsin,5,0,18,18,18,45,17.5,5,9,14,0,9,98.88,At-Large
2024,1012,Yale,13,0,83,123,82,53,72,0,3,3,4,12,0.05,At-Large
2023,1011,Alabama,1,16,2,3,1,1,2.7,13,6,19,0,24,99.9,Auto
2023,1010,Arizona,2,64,10,7,7,10,9.3,9,7,16,0,22,99.8,Auto
2023,1009,Arizona St.,11,64,66,32,39,60,70,5,4,9,1,10,43.9,At-Large
2023,1008,Arkansas,8,16,21,37,48,61,18.7,4,4,8,1,7,88.1,At-Large
2023,1007,Auburn,9,32,32,49,42,59,27.3,3,6,9,1,8,84.9,At-Large
2023,1006,Baylor,3,32,15,4,12,27,13.3,11,4,15,0,12,99.8,At-Large
2023,1005,Boise St.,10,64,27,35,30,26,44.7,3,9,12,2,14,83.7,At-Large
2023,1004,Colgate,15,64,101,165,103,74,106.3,0,1,1,7,17,0,Auto
2023,1003,College of Charleston,12,64,51,110,32,18,69.3,0,2,2,2,27,9.5,Auto
2023,1002,Connecticut,4,1,8,19,13,15,5.3,6,6,12,1,17,99.6,At-Large
2023,1001,Creighton,6,8,17,40,29,33,11.7,3,6,9,1,9,97.9,At-Large
2023,1000,Drake,12,64,54,83,63,24,58.7,1,3,4,3,19,3.9,Auto
2023,999,Duke,5,32,16,28,16,12,17.3,5,7,12,0,18,99,Auto
2023,998,Fairleigh Dickinson,16,32,301,329,257,257,303,0,0,0,14,2,0,Auto
2023,997,Florida Atlantic,9,4,13,59,14,9,34,2,4,6,0,26,96,Auto
2023,996,Furman,13,32,88,150,77,55,87,0,1,1,5,17,0,Auto
2023,995,Gonzaga,3,8,6,17,9,6,6.7,6,5,11,1,22,99.8,Auto
2023,994,Grand Canyon,14,64,104,107,105,79,104.3,1,2,3,8,10,0,Auto
2023,993,Houston,1,16,1,13,5,2,1,7,8,15,1,28,99.9,At-Large
2023,992,Howard,16,64,214,203,159,143,219.7,0,0,0,9,7,0,Auto
2023,991,Illinois,9,64,34,43,45,72,30,2,7,9,0,8,81,At-Large
2023,990,Indiana,4,32,30,15,22,31,22,6,6,12,0,11,98.6,At-Large
2023,989,Iona,13,64,59,161,72,35,69,0,0,0,4,20,0,Auto
2023,988,Iowa,8,64,39,30,50,73,33.3,4,9,13,3,6,75.9,At-Large
2023,987,Iowa St.,6,64,20,6,27,58,26.7,10,2,12,0,6,98.4,At-Large
2023,986,Kansas,1,32,9,1,2,5,8.3,17,4,21,0,20,99.9,At-Large
2023,985,Kansas St.,3,8,23,8,17,30,26,9,4,13,0,14,99.5,At-Large
2023,984,Kennesaw St.,14,64,114,136,69,47,136.7,0,2,2,4,15,0,Auto
2023,983,Kent St.,13,64,57,118,46,28,70.3,0,2,2,2,20,1.2,Auto
2023,982,Kentucky,6,32,25,20,33,39,20.7,6,6,12,3,10,98.2,At-Large
2023,981,Louisiana Lafayette,13,64,89,129,61,44,96,0,1,1,2,16,0,Auto
2023,980,Marquette,2,32,12,9,6,3,12.3,7,6,13,1,22,99.8,Auto
2023,979,Maryland,8,32,31,46,43,62,22,3,6,9,0,9,85.9,At-Large
2023,978,Memphis,8,64,29,34,15,13,27.3,4,9,13,1,18,96.5,Auto
2023,977,Miami FL,5,4,35,42,20,20,36.7,5,6,11,2,18,98,At-Large
2023,976,Michigan St.,7,16,33,31,26,43,33,5,7,12,1,7,93.3,At-Large
2023,975,Mississippi St.,11,68,48,36,49,63,48.7,4,4,8,1,9,50.6,At-Large
2023,974,Missouri,7,32,42,22,21,32,54,6,4,10,0,15,93.4,At-Large
2023,973,Montana St.,14,64,103,131,88,52,116.3,0,2,2,6,14,0,Auto
2023,972,Nevada,11,68,37,48,47,57,64.7,4,3,7,2,11,24.2,At-Large
2023,971,North Carolina St.,11,64,45,70,41,48,48.7,1,7,8,0,13,55.5,At-Large
2023,970,Northern Kentucky,16,64,154,177,150,117,155.7,0,1,1,7,8,0,Auto
2023,969,Northwestern,7,32,41,14,34,51,41,7,4,11,0,10,94.1,At-Large
2023,968,Oral Roberts,12,64,36,114,35,23,72,0,1,1,0,22,1.5,Auto
2023,967,Penn St.,10,32,49,21,38,38,44.3,7,5,12,1,9,84,At-Large
2023,966,Pittsburgh,11,32,67,57,54,66,68,4,3,7,2,11,71.2,At-Large
2023,965,Princeton,15,16,116,141,96,81,116.3,0,2,2,5,11,0,Auto
2023,964,Providence,11,64,55,47,37,76,40,3,3,6,1,10,50.6,At-Large
2023,963,Purdue,1,64,5,5,3,7,7,10,9,19,0,24,99.9,Auto
2023,962,Saint Mary's,5,32,11,45,23,17,15.7,2,7,9,2,18,97.8,At-Large
2023,961,San Diego St.,5,2,14,26,10,8,22,5,6,11,0,20,98.6,Auto
2023,960,Southeast Missouri St.,16,68,242,298,246,214,256.3,0,0,0,13,1,0,Auto
2023,959,TCU,6,32,28,12,28,45,24.7,8,5,13,1,9,98.2,At-Large
2023,958,Tennessee,4,16,4,18,25,34,6,7,3,10,0,13,99.4,At-Large
2023,957,Texas,2,8,7,2,8,11,5.7,14,4,18,0,18,99.9,Auto
2023,956,Texas A&M,7,64,18,16,19,14,16.3,7,5,12,2,16,98.6,At-Large
2023,955,Texas A&M Corpus Chris,16,64,174,241,137,138,193,0,0,0,7,9,0,Auto
2023,954,Texas Southern,16,68,292,307,282,265,287,0,1,1,13,-8,0,Auto
2023,953,UC Santa Barbara,14,64,100,120,70,54,110.7,0,3,3,6,18,0,Auto
2023,952,UCLA,2,16,3,10,4,4,3,8,9,17,0,24,99.9,At-Large
2023,951,UNC Asheville,15,64,140,138,75,70,145.3,1,0,1,5,18,0,Auto
2023,950,USC,10,64,50,50,31,41,42,3,7,10,2,12,59.2,At-Large
2023,949,Utah St.,10,64,19,60,24,16,32.7,2,9,11,2,17,68.6,At-Large
2023,948,VCU,12,64,58,89,44,22,59,1,4,5,2,20,5.8,Auto
2023,947,Vermont,15,64,109,137,109,71,104,0,1,1,4,12,0,Auto
2023,946,Virginia,4,64,26,33,18,21,28.3,5,6,11,1,18,99.2,At-Large
2023,945,West Virginia,9,64,24,25,36,50,20.3,6,6,12,0,5,93.3,At-Large
2023,944,Xavier,3,16,22,11,11,19,17.7,8,5,13,2,16,99.5,At-Large
2022,943,Akron,13,64,127,139,115,83,121.7,0,2,2,6,13,0,Auto
2022,942,Alabama,6,64,30,11,34,62,23,8,5,13,2,6,97.5,At-Large
2022,941,Arizona,1,16,2,14,3,1,2.3,6,9,15,0,28,100,Auto
2022,940,Arkansas,4,8,20,10,17,18,19,7,5,12,1,17,99.5,At-Large
2022,939,Auburn,2,32,11,12,5,11,11.3,8,7,15,0,22,99.8,At-Large
2022,938,Baylor,1,32,4,4,2,7,5,10,8,18,0,20,99.9,At-Large
2022,937,Boise St.,8,64,29,24,24,12,39.7,6,7,13,1,19,92.9,Auto
2022,936,Bryant,16,68,200,188,124,114,184.7,0,0,0,5,12,0,Auto
2022,935,Cal St. Fullerton,15,64,153,196,129,117,161,0,1,1,7,9,0,Auto
2022,934,Chattanooga,13,64,63,108,55,32,73.7,1,3,4,5,18,1,Auto
2022,933,Colgate,14,64,128,194,146,92,120.3,0,1,1,9,11,0,Auto
2022,932,Colorado St.,6,64,28,34,18,17,49.3,5,8,13,1,19,95.4,At-Large
2022,931,Connecticut,5,64,17,29,26,28,17.3,5,8,13,0,14,98.7,At-Large
2022,930,Creighton,9,32,55,22,41,35,55.3,7,4,11,1,11,82.7,At-Large
2022,929,Davidson,10,64,41,74,33,26,48.7,2,4,6,1,20,58.1,At-Large
2022,928,Delaware,15,64,137,155,136,102,147,0,1,1,6,9,0,Auto
2022,927,Duke,2,4,12,20,7,9,11.3,6,6,12,1,22,99.7,At-Large
2022,926,Georgia St.,16,64,159,186,131,97,143,0,0,0,8,5,0,Auto
2022,925,Gonzaga,1,16,1,5,10,5,1,10,2,12,0,23,100,Auto
2022,924,Houston,5,8,3,62,13,6,3.7,1,10,11,0,24,98.6,Auto
2022,923,Illinois,4,32,15,13,20,25,15.7,6,6,12,0,13,99.5,At-Large
2022,922,Indiana,12,64,38,41,54,60,32.7,4,4,8,1,7,77.1,At-Large
2022,921,Iowa,5,64,14,27,16,14,13.3,4,8,12,0,17,99.3,Auto
2022,920,Iowa St.,11,16,49,18,29,69,53.3,9,1,10,0,8,74.9,At-Large
2022,919,Jacksonville St.,15,64,143,214,132,130,140.3,0,1,1,7,9,0,Auto
2022,918,Kansas,1,1,6,1,1,2,5.7,12,8,20,0,22,99.9,Auto
2022,917,Kentucky,2,64,5,9,9,8,4.3,9,5,14,0,19,99.9,At-Large
2022,916,Longwood,14,64,125,162,82,76,146.3,0,0,0,4,16,0,Auto
2022,915,Loyola Chicago,10,64,23,49,39,31,28.3,3,5,8,1,17,87.4,Auto
2022,914,LSU,6,64,18,26,32,53,18,6,5,11,1,11,97.4,At-Large
2022,913,Marquette,9,64,42,21,51,63,50,5,5,10,0,7,78.8,At-Large
2022,912,Memphis,9,32,33,36,45,29,26,5,3,8,2,11,90.3,At-Large
2022,911,Miami FL,10,8,62,40,31,39,61.3,4,5,9,3,13,71.9,At-Large
2022,910,Michigan,11,16,34,23,56,56,28,5,3,8,1,3,76.4,At-Large
2022,909,Michigan St.,7,32,36,16,28,44,33,5,8,13,1,10,95.8,At-Large
2022,908,Montana St.,14,64,120,163,90,68,142.7,0,0,0,5,18,0,Auto
2022,907,Murray St.,7,32,21,64,23,10,41.7,2,3,5,1,25,96,Auto
2022,906,New Mexico St.,12,32,79,86,50,34,95.3,2,4,6,4,17,0.2,Auto
2022,905,Norfolk St.,16,64,156,176,93,125,167,0,0,0,4,15,0,Auto
2022,904,North Carolina,8,2,31,48,19,24,26.7,3,3,6,1,15,95.5,At-Large
2022,903,Notre Dame,11,32,53,69,37,45,52.3,2,2,4,1,11,39.4,At-Large
2022,902,Ohio St.,7,32,26,28,46,61,25.7,5,5,10,1,8,95.4,At-Large
2022,901,Providence,4,16,32,17,14,16,42,5,9,14,0,20,97.9,At-Large
2022,900,Purdue,3,16,13,8,8,13,10.7,8,6,14,0,20,99.7,At-Large
2022,899,Richmond,12,32,81,82,74,49,77.3,1,6,7,1,11,0.4,Auto
2022,898,Rutgers,11,68,77,19,63,66,68.3,6,3,9,3,5,23.8,At-Large
2022,897,Saint Mary's,5,32,19,35,22,21,19.7,4,6,10,0,17,98.1,At-Large
2022,896,Saint Peter's,15,8,124,210,137,89,123.3,0,0,0,7,7,0,Auto
2022,895,San Diego St.,8,64,25,38,30,23,27.3,5,5,10,0,15,92.4,At-Large
2022,894,San Francisco,10,64,22,51,42,43,28.3,4,5,9,1,14,80.4,At-Large
2022,893,Seton Hall,8,64,37,31,36,47,34.3,6,3,9,0,10,91.1,At-Large
2022,892,South Dakota St.,13,64,65,118,43,22,68.7,0,2,2,2,24,1.8,Auto
2022,891,TCU,9,32,44,15,27,51,42,8,2,10,0,8,91.9,At-Large
2022,890,Tennessee,3,32,7,3,4,4,6.3,11,5,16,0,19,99.9,Auto
2022,889,Texas,6,32,16,25,25,42,16.7,5,5,10,0,10,99,At-Large
2022,888,Texas A&M Corpus Chris,16,68,241,244,177,191,247,0,0,0,8,8,0,Auto
2022,887,Texas Southern,16,64,197,172,159,151,192,1,0,1,7,6,0,Auto
2022,886,Texas Tech,3,16,9,6,11,19,12,8,7,15,0,16,99.8,At-Large
2022,885,UAB,12,64,46,85,57,36,48.7,2,3,5,4,18,7.7,Auto
2022,884,UCLA,4,16,10,30,15,15,9,5,8,13,1,18,99.6,At-Large
2022,883,USC,7,64,35,39,21,30,37.3,4,5,9,2,19,94.6,At-Large
2022,882,Vermont,13,64,52,130,64,37,60.3,0,1,1,3,22,0.3,Auto
2022,881,Villanova,2,4,8,7,6,3,9,7,10,17,0,19,99.8,Auto
2022,880,Virginia Tech,11,64,27,46,40,27,23.3,3,6,9,2,11,91.6,Auto
2022,879,Wisconsin,3,32,24,2,12,20,27.3,9,7,16,2,17,99.6,At-Large
2022,878,Wright St.,16,64,191,277,192,146,174,0,0,0,12,7,0,Auto
2022,877,Wyoming,12,68,50,45,35,40,81.3,4,7,11,2,16,54.5,At-Large
2022,876,Yale,14,64,142,140,127,109,144.7,0,1,1,6,7,0,Auto
2021,875,Abilene Christian,14,32,74,151,64,56,89,0,0,0,2,15,0,Auto
2021,874,Alabama,2,16,7,7,4,4,8.7,8,9,17,1,18,99.9,Auto
2021,873,Appalachian St.,16,68,210,276,222,168,191.3,0,0,0,8,2,0,Auto
2021,872,Arkansas,3,8,14,20,12,9,15.7,6,6,12,0,16,99.4,At-Large
2021,871,Baylor,1,1,2,6,5,3,2.7,8,2,10,0,20,100,At-Large
2021,870,BYU,6,64,20,33,17,17,25.7,3,5,8,0,13,98.1,At-Large
2021,869,Clemson,7,64,41,30,23,41,38.7,3,7,10,1,9,91.8,At-Large
2021,868,Cleveland St.,15,64,160,140,95,92,170,1,0,1,3,12,0,Auto
2021,867,Colgate,14,64,9,117,48,35,64.3,0,2,2,1,13,0.8,Auto
2021,866,Colorado,5,32,15,31,10,14,19.3,3,7,10,3,14,98.8,At-Large
2021,865,Connecticut,7,64,30,35,31,28,18,4,3,7,0,8,94,At-Large
2021,864,Creighton,5,16,25,16,19,21,15.3,7,5,12,2,12,98.8,At-Large
2021,863,Drake,11,64,45,62,35,29,61.7,1,5,6,2,19,39.4,At-Large
2021,862,Drexel,16,64,135,189,143,113,139.7,0,0,0,6,5,0,Auto
2021,861,Eastern Washington,14,64,113,177,109,76,108.3,0,0,0,3,8,0,Auto
2021,860,Florida,7,32,31,23,40,51,34.7,5,3,8,1,5,93.9,At-Large
2021,859,Florida St.,4,16,24,34,26,26,16,3,7,10,1,10,98.9,At-Large
2021,858,Georgetown,12,64,64,26,66,50,60.3,3,5,8,2,1,25.1,Auto
2021,857,Georgia Tech,9,64,33,39,34,22,33.3,3,6,9,2,9,90.2,At-Large
2021,856,Gonzaga,1,2,1,4,2,1,1,8,6,14,0,26,100,Auto
2021,855,Grand Canyon,15,64,106,202,99,98,103.7,0,0,0,5,8,0,Auto
2021,854,Hartford,16,64,161,158,151,139,184.3,0,1,1,6,7,0,Auto
2021,853,Houston,2,4,5,50,15,5,5,2,6,8,1,20,99.5,Auto
2021,852,Illinois,1,32,3,1,1,2,3.3,12,5,17,0,17,99.9,Auto
2021,851,Iona,15,64,138,223,112,114,162,0,0,0,4,7,0,Auto
2021,850,Iowa,2,32,6,9,8,10,5,8,5,13,0,13,99.9,At-Large
2021,849,Kansas,3,32,11,14,13,19,17.3,7,2,9,0,11,99.5,At-Large
2021,848,Liberty,13,64,86,161,76,57,93.7,0,1,1,3,14,0,Auto
2021,847,Loyola Chicago,8,16,10,64,33,8,23,2,4,6,0,18,94.8,Auto
2021,846,LSU,8,32,28,18,28,25,27,5,3,8,0,9,97.8,At-Large
2021,845,Maryland,10,32,35,21,53,68,35.3,4,3,7,0,2,79.8,At-Large
2021,844,Michigan,1,8,4,5,3,6,4,8,6,14,0,16,99.9,At-Large
2021,843,Michigan St.,11,68,70,17,41,60,54.3,5,4,9,0,3,45.8,At-Large
2021,842,Missouri,9,64,47,10,29,45,50.7,7,2,9,0,7,92.4,At-Large
2021,841,Morehead St.,14,64,122,139,78,43,144.7,0,1,1,2,14,0,Auto
2021,840,Mount St. Mary's,16,68,158,224,207,184,207.7,0,1,1,7,2,0,Auto
2021,839,Norfolk St.,16,64,169,233,153,147,208.3,0,1,1,6,7,0,Auto
2021,838,North Carolina,8,64,32,42,25,32,24.3,3,8,11,1,8,92.5,At-Large
2021,837,North Texas,13,32,61,116,89,61,74.7,0,3,3,4,7,0.2,Auto
2021,836,Ohio,13,32,87,113,80,58,93.3,0,3,3,3,8,0,Auto
2021,835,Ohio St.,2,64,8,2,6,15,8,9,6,15,0,12,99.9,At-Large
2021,834,Oklahoma,8,32,37,19,49,67,35.7,5,0,5,1,5,87.5,At-Large
2021,833,Oklahoma St.,4,32,29,3,9,11,30.7,10,2,12,2,12,99.2,At-Large
2021,832,Oral Roberts,15,16,159,181,152,119,154,0,0,0,5,3,0,Auto
2021,831,Oregon,7,16,34,46,11,13,33.7,2,7,9,2,14,92.7,At-Large
2021,830,Oregon St.,12,8,91,32,47,36,84.7,5,2,7,3,4,15,Auto
2021,829,Purdue,4,64,22,12,16,23,18.3,6,7,13,1,9,99.3,At-Large
2021,828,Rutgers,10,32,38,24,36,62,36.3,4,6,10,0,4,88.5,At-Large
2021,827,San Diego St.,6,64,18,66,20,7,19.7,1,7,8,0,18,95.7,Auto
2021,826,St. Bonaventure,9,64,27,49,32,20,32,4,3,7,1,12,91.9,Auto
2021,825,Syracuse,11,16,40,73,46,44,36,1,6,7,1,7,50.1,At-Large
2021,824,Tennessee,5,64,13,13,27,40,16.7,6,2,8,0,10,98.9,At-Large
2021,823,Texas,3,64,21,8,14,16,22,8,2,10,0,12,99.5,Auto
2021,822,Texas Southern,16,64,208,178,141,136,217.3,0,0,0,3,7,0,Auto
2021,821,Texas Tech,6,32,17,25,44,48,18,4,2,6,0,7,98.4,At-Large
2021,820,UC Santa Barbara,12,64,54,112,52,24,75.3,0,2,2,0,16,2.2,Auto
2021,819,UCLA,11,4,46,55,24,39,43.3,2,3,5,0,8,69.7,At-Large
2021,818,UNC Greensboro,13,64,84,133,114,49,92.3,0,4,4,6,13,0,Auto
